MSOA code,MSOA name,Local authority code,Local authority name,Region code,Region name,Total annual income,Upper confidence limit,Lower confidence limit,Confidence interval,postcode,msoa21cd_x,soac11nm,ladnm,laccd,lacnm,hclnm,label,msoa21nm,name,x,y,latitude,longitude
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3LX,E02003524,Hampered neighbourhoods,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3PL,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3PP,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3PR,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3PS,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3PT,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3PU,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3PW,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3PX,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3PY,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3PZ,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3QA,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3QB,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3QD,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3QE,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3QG,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3QH,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3QP,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3RU,E02003524,Hampered neighbourhoods,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3SG,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3SH,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3SJ,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3SL,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3SN,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3SQ,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3SS,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3ST,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
E02003524,Portsmouth 001,E06000044,Portsmouth,E12000008,South East," 37,300 "," 44,400 "," 31,300 "," 13,100 ",PO6  3SW,E02003524,Challenged white communities,Portsmouth,2A1,Larger Towns and Cities,Paulsgrove East,E92000001E12000008E06000044E02003524,Portsmouth 001,Portsmouth 001,463825.442667242,106287.849780923,50.85259480794818,-1.0946695965765774
