postcode,msoa
PO12 3TR,E02004749
PO1 3TJ,E02003547
PO2 0BH,E02003534
PO1 3DT,E02003539
PO5 3AT,E02003547
PO5 1LU,E02003541
PO1 2JA,E02003547
PO5 3LT,E02003547
PO1 2RG,E02003547
PO1 2HW,E02003547
PO5 2EE,E02003545
PO5 2NE,E02003548
PO1 2DB,E02003539
PO5 1JF,E02003541
PO1 2DD,E02003539
PO1 2LU,E02003547
PO4 0JR,E02003543
PO5 3LJ,E02003547
PO1 3FA,E02003547
PO6 4TP,E02003527
PO5 2SE,E02003543
PO5 3EG,E02003545
PO4 0JW,E02003543
PO1 3PX,E02003539
PO1 1DE,E02003539
PO1 5AB,E02003539
PO5 4EH,E02003541
PO5 3PT,E02003545
PO5 3BY,E02003545
PO4 9DA,E02003543
PO1 3FR,E02003547
PO1 2JL,E02003547
PO5 2AX,E02003545
PO5 3PA,E02003547
PO5 3PP,E02003545
PO1 4AA,E02003539
PO5 3PR,E02003545
PO1 5HD,E02003538
PO1 2LY,E02003547
PO1 4AJ,E02003539
PO5 2BT,E02003545
PO5 1JG,E02003545
PO2 8AA,E02003536
PO2 0BN,E02003534
PO1 3TZ,E02003547
PO4 0JP,E02003543
PO5 3LS,E02003547
PO1 1BA,E02003539
PO2 9AE,E02003532
PO5 3LU,E02003547
PO3 5BT,E02003534
PO1 2FS,E02003547
PO1 4AH,E02003539
PO5 3QH,E02003545
PO1 3PU,E02003539
PO1 3EE,E02003539
PO5 3AH,E02003545
PO5 3AU,E02003547
PO1 3SY,E02003547
PO1 3TA,E02003547
PO1 4BJ,E02003539
PO5 2SG,E02003548
PO4 0DB,E02003543
PO1 3BF,E02003547
PO1 3TR,E02003547
PO2 0LZ,E02003534
PO1 2JE,E02003547
PO1 3TW,E02003547
PO2 7PA,E02003538
PO2 0LN,E02003534
PO5 2SF,E02003543
PO6 4SH,E02003525
PO1 4RL,E02003539
PO1 3TU,E02003547
PO1 1SL,E02003539
PO6 4SA,E02003525
PO5 3PB,E02003547
PO5 1LR,E02003545
PO5 2ED,E02003545
PO2 9HA,E02003532
PO1 2LP,E02003547
PO3 5HS,E02003531
PO5 3AS,E02003547
PO5 2SN,E02003548
