postcode,admin_county,admin_district,nuts,pfa,latitude,longitude,country
PO12 3TR,Hampshire,Gosport,Gosport, Hampshire, 50.794883,-1.162522,England
PO1 3TJ,,Portsmouth,Portsmouth, Hampshire, 50.794328,-1.106968,England
PO2 0BH,,Portsmouth,Portsmouth, Hampshire, 50.814827,-1.079977,England
PO1 3DT,,Portsmouth,Portsmouth, Hampshire, 50.797996,-1.10592,England
PO5 3AT,,Portsmouth,Portsmouth, Hampshire, 50.789083,-1.096187,England
PO5 1LU,,Portsmouth,Portsmouth, Hampshire, 50.789513,-1.083254,England
PO1 2JA,,Portsmouth,Portsmouth, Hampshire, 50.789948,-1.105775,England
PO5 3LT,,Portsmouth,Portsmouth, Hampshire, 50.784971,-1.091528,England
PO1 2RG,,Portsmouth,Portsmouth, Hampshire, 50.792207,-1.095645,England
PO1 2HW,,Portsmouth,Portsmouth, Hampshire, 50.791695,-1.101286,England
PO5 3LT,,Portsmouth,Portsmouth, Hampshire, 50.784971,-1.091528,England
PO5 2EE,,Portsmouth,Portsmouth, Hampshire, 50.78446,-1.087977,England
PO5 2NE,,Portsmouth,Portsmouth, Hampshire, 50.781036,-1.082569,England
PO1 2DB,,Portsmouth,Portsmouth, Hampshire, 50.798107,-1.092011,England
PO5 1JF,,Portsmouth,Portsmouth, Hampshire, 50.790333,-1.088047,England
PO1 2DD,,Portsmouth,Portsmouth, Hampshire, 50.796541,-1.093077,England
PO1 2LU,,Portsmouth,Portsmouth, Hampshire, 50.789918,-1.104186,England
PO4 0JR,,Portsmouth,Portsmouth, Hampshire, 50.786523,-1.071283,England
PO5 3LJ,,Portsmouth,Portsmouth, Hampshire, 50.785094,-1.093128,England
PO5 3AT,,Portsmouth,Portsmouth, Hampshire, 50.789083,-1.096187,England
PO1 3FA,,Portsmouth,Portsmouth, Hampshire, 50.7948,-1.105185,England
PO1 3FA,,Portsmouth,Portsmouth, Hampshire, 50.7948,-1.105185,England
PO6 4TP,,Portsmouth,Portsmouth, Hampshire, 50.84086,-1.097076,England
PO5 2SE,,Portsmouth,Portsmouth, Hampshire, 50.788018,-1.081822,England
PO5 3EG,,Portsmouth,Portsmouth, Hampshire, 50.787898,-1.094167,England
PO4 0JW,,Portsmouth,Portsmouth, Hampshire, 50.786768,-1.075307,England
PO1 3PX,,Portsmouth,Portsmouth, Hampshire, 50.799865,-1.108963,England
PO1 1DE,,Portsmouth,Portsmouth, Hampshire, 50.800259,-1.091516,England
PO1 5AB,,Portsmouth,Portsmouth, Hampshire, 50.797486,-1.077124,England
PO5 4EH,,Portsmouth,Portsmouth, Hampshire, 50.791935,-1.090513,England
PO6 4TP,,Portsmouth,Portsmouth, Hampshire, 50.84086,-1.097076,England
PO1 3DT,,Portsmouth,Portsmouth, Hampshire, 50.797996,-1.10592,England
PO5 2NE,,Portsmouth,Portsmouth, Hampshire, 50.781036,-1.082569,England
PO5 3PT,,Portsmouth,Portsmouth, Hampshire, 50.784109,-1.089119,England
PO5 3BY,,Portsmouth,Portsmouth, Hampshire, 50.789904,-1.092979,England
PO4 9DA,,Portsmouth,Portsmouth, Hampshire, 50.786311,-1.069584,England
PO1 3FR,,Portsmouth,Portsmouth, Hampshire, 50.795434,-1.103485,England
PO1 2JL,,Portsmouth,Portsmouth, Hampshire, 50.791979,-1.109098,England
PO5 2AX,,Portsmouth,Portsmouth, Hampshire, 50.78559,-1.084097,England
PO5 3PA,,Portsmouth,Portsmouth, Hampshire, 50.778099,-1.088796,England
PO5 3PP,,Portsmouth,Portsmouth, Hampshire, 50.784411,-1.088616,England
PO1 4AA,,Portsmouth,Portsmouth, Hampshire, 50.80062,-1.091494,England
PO5 3PR,,Portsmouth,Portsmouth, Hampshire, 50.783519,-1.088677,England
PO5 2SE,,Portsmouth,Portsmouth, Hampshire, 50.788018,-1.081822,England
PO1 5HD,,Portsmouth,Portsmouth, Hampshire, 50.800786,-1.077088,England
PO1 5AB,,Portsmouth,Portsmouth, Hampshire, 50.797486,-1.077124,England
PO1 2LY,,Portsmouth,Portsmouth, Hampshire, 50.789382,-1.10607,England
PO1 4AJ,,Portsmouth,Portsmouth, Hampshire, 50.802279,-1.088581,England
PO5 2BT,,Portsmouth,Portsmouth, Hampshire, 50.785976,-1.083125,England
PO5 1JG,,Portsmouth,Portsmouth, Hampshire, 50.790159,-1.088774,England
PO2 8AA,,Portsmouth,Portsmouth, Hampshire, 50.813512,-1.081833,England
PO2 0BN,,Portsmouth,Portsmouth, Hampshire, 50.816617,-1.079856,England
PO1 3TZ,,Portsmouth,Portsmouth, Hampshire, 50.79606,-1.105588,England
PO4 0JP,,Portsmouth,Portsmouth, Hampshire, 50.786779,-1.073249,England
PO5 3LS,,Portsmouth,Portsmouth, Hampshire, 50.785146,-1.09056,England
PO1 1BA,,Portsmouth,Portsmouth, Hampshire, 50.798391,-1.091537,England
PO2 9AE,,Portsmouth,Portsmouth, Hampshire, 50.818792,-1.078678,England
PO5 3LU,,Portsmouth,Portsmouth, Hampshire, 50.784819,-1.090212,England
PO3 5BT,,Portsmouth,Portsmouth, Hampshire, 50.815867,-1.06481,England
PO1 1DE,,Portsmouth,Portsmouth, Hampshire, 50.800259,-1.091516,England
PO1 2FS,,Portsmouth,Portsmouth, Hampshire, 50.790804,-1.108312,England
PO1 4AH,,Portsmouth,Portsmouth, Hampshire, 50.801992,-1.088899,England
PO5 3QH,,Portsmouth,Portsmouth, Hampshire, 50.786002,-1.088515,England
PO1 3PU,,Portsmouth,Portsmouth, Hampshire, 50.798705,-1.1068,England
PO1 3EE,,Portsmouth,Portsmouth, Hampshire, 50.799319,-1.10598,England
PO5 3AH,,Portsmouth,Portsmouth, Hampshire, 50.791035,-1.095127,England
PO5 3AU,,Portsmouth,Portsmouth, Hampshire, 50.788379,-1.095888,England
PO1 3SY,,Portsmouth,Portsmouth, Hampshire, 50.79505,-1.103719,England
PO1 3DT,,Portsmouth,Portsmouth, Hampshire, 50.797996,-1.10592,England
PO1 3TA,,Portsmouth,Portsmouth, Hampshire, 50.796364,-1.107625,England
PO6 4TP,,Portsmouth,Portsmouth, Hampshire, 50.84086,-1.097076,England
PO1 4BJ,,Portsmouth,Portsmouth, Hampshire, 50.802723,-1.088034,England
PO1 2DD,,Portsmouth,Portsmouth, Hampshire, 50.796541,-1.093077,England
PO5 2SE,,Portsmouth,Portsmouth, Hampshire, 50.788018,-1.081822,England
PO5 2SG,,Portsmouth,Portsmouth, Hampshire, 50.787042,-1.079217,England
PO4 0DB,,Portsmouth,Portsmouth, Hampshire, 50.79381,-1.076203,England
PO1 3BF,,Portsmouth,Portsmouth, Hampshire, 50.794016,-1.106123,England
PO1 3TR,,Portsmouth,Portsmouth, Hampshire, 50.795618,-1.107497,England
PO2 0LZ,,Portsmouth,Portsmouth, Hampshire, 50.816362,-1.079449,England
PO4 0JR,,Portsmouth,Portsmouth, Hampshire, 50.786523,-1.071283,England
PO1 3TR,,Portsmouth,Portsmouth, Hampshire, 50.795618,-1.107497,England
PO1 2JE,,Portsmouth,Portsmouth, Hampshire, 50.790808,-1.107887,England
PO1 3TR,,Portsmouth,Portsmouth, Hampshire, 50.795618,-1.107497,England
PO1 3TR,,Portsmouth,Portsmouth, Hampshire, 50.795618,-1.107497,England
PO1 3TW,,Portsmouth,Portsmouth, Hampshire, 50.795525,-1.105881,England
PO1 3TA,,Portsmouth,Portsmouth, Hampshire, 50.796364,-1.107625,England
PO1 3TZ,,Portsmouth,Portsmouth, Hampshire, 50.79606,-1.105588,England
PO2 7PA,,Portsmouth,Portsmouth, Hampshire, 50.808663,-1.077216,England
PO2 0LN,,Portsmouth,Portsmouth, Hampshire, 50.814664,-1.079582,England
PO5 2SF,,Portsmouth,Portsmouth, Hampshire, 50.787335,-1.080743,England
PO6 4SH,,Portsmouth,Portsmouth, Hampshire, 50.845775,-1.090561,England
PO1 1DQ,,,, , ,,
PO1 4RL,,Portsmouth,Portsmouth, Hampshire, 50.801734,-1.092438,England
PO6 4TP,,Portsmouth,Portsmouth, Hampshire, 50.84086,-1.097076,England
PO1 3TU,,Portsmouth,Portsmouth, Hampshire, 50.796047,-1.107077,England
PO1 1SL,,Portsmouth,Portsmouth, Hampshire, 50.798589,-1.077869,England
PO6 4SA,,Portsmouth,Portsmouth, Hampshire, 50.846422,-1.092793,England
PO5 3PB,,Portsmouth,Portsmouth, Hampshire, 50.780198,-1.092898,England
PO2 0BH,,Portsmouth,Portsmouth, Hampshire, 50.814827,-1.079977,England
PO1 2RG,,Portsmouth,Portsmouth, Hampshire, 50.792207,-1.095645,England
PO1 3DT,,Portsmouth,Portsmouth, Hampshire, 50.797996,-1.10592,England
PO5 1LR,,Portsmouth,Portsmouth, Hampshire, 50.789219,-1.0836,England
PO5 2ED,,Portsmouth,Portsmouth, Hampshire, 50.784534,-1.087295,England
PO1 3TA,,Portsmouth,Portsmouth, Hampshire, 50.796364,-1.107625,England
PO2 9HA,,Portsmouth,Portsmouth, Hampshire, 50.82107,-1.076603,England
PO1 3TU,,Portsmouth,Portsmouth, Hampshire, 50.796047,-1.107077,England
PO1 2LP,,Portsmouth,Portsmouth, Hampshire, 50.791278,-1.101167,England
PO5 2EE,,Portsmouth,Portsmouth, Hampshire, 50.78446,-1.087977,England
PO1 3TA,,Portsmouth,Portsmouth, Hampshire, 50.796364,-1.107625,England
PO3 5HS,,Portsmouth,Portsmouth, Hampshire, 50.829858,-1.065567,England
PO5 3AS,,Portsmouth,Portsmouth, Hampshire, 50.789566,-1.095865,England
PO5 3LU,,Portsmouth,Portsmouth, Hampshire, 50.784819,-1.090212,England
PO6 4TP,,Portsmouth,Portsmouth, Hampshire, 50.84086,-1.097076,England
PO2 0LZ,,Portsmouth,Portsmouth, Hampshire, 50.816362,-1.079449,England
PO5 3LS,,Portsmouth,Portsmouth, Hampshire, 50.785146,-1.09056,England
PO5 2SN,,Portsmouth,Portsmouth, Hampshire, 50.786617,-1.077537,England
PO5 3PT,,Portsmouth,Portsmouth, Hampshire, 50.784109,-1.089119,England
